zip_code,num_households,med_income_12m
04757,1089,70428
04758,532,53587
04760,317,42321
04761,172,45682
04762,200,46250
04763,304,42000
04764,13,27188
04765,461,37596
04766,157,48906
04768,178,49375
04769,4157,47853
04772,396,66471
04773,295,52356
04774,312,37647
04776,325,47321
04777,152,37188
04779,171,77708
04780,335,50260
04781,213,52946
04783,199,44107
04785,857,31921
04786,743,42330
04787,179,36250
04841,3367,48871
04843,2373,84123
04847,665,74288
04848,329,67813
04849,1672,70820
04851,34,63750
04852,43,-
04853,198,77500
04854,696,69167
04855,159,243397
04856,1364,83542
04858,558,76368
04859,371,71382
04860,825,40703
04861,1308,55922
04862,1718,55139
04863,479,76979
04864,1557,77102
04901,10942,46358
04910,862,51667
04911,806,41250
04912,282,38971
04915,4174,55614
04917,1308,77161
04918,0,-
04920,840,34386
04921,664,50250
04922,412,38750
04923,232,64091
04924,920,50909
04925,11,117917
04926,10,-
04927,1462,66899
04928,868,53966
04929,322,37250
04930,1954,44167
04932,514,57125
04936,112,33333
04937,2891,45966
04938,3771,51096
04939,394,38333
04940,0,-
04941,732,58170
04942,528,34079
04943,756,31667
04944,32,-
04945,580,49474
04947,790,66042
04949,335,60313
04950,1995,44307
04951,475,64539
04952,796,60833
04953,1425,56358
04955,571,66964
04956,275,55250
04957,1642,50234
04958,832,52283
04961,397,37932
04963,3086,72588
04964,84,-
04965,817,61250
04966,703,42011
04967,1503,50372
04969,462,51053
04970,733,57829
04971,767,43438
04973,546,86667
04974,1386,47466
04975,33,-
04976,4301,49816
04978,427,90417
04979,354,48500
04981,1223,69856
04982,227,31406
04983,602,38944
04984,269,48775
04985,52,-
04986,642,57500
04987,404,47500
04988,708,42031
04989,1963,67264
04992,112,-
05001,4128,61264
05009,0,-
05030,111,56326
05031,10,-
05032,1062,66972
05033,1272,58854
05034,98,59250
05035,321,55179
05036,485,63854
05037,375,94837
05038,593,58869
05039,472,65658
05040,281,97583
05041,67,-
05042,277,51406
05043,537,72292
05045,776,63594
05046,512,66000
05048,1176,74167
05050,55,44201
05051,521,61518
05052,75,66083
05053,110,127692
05055,1220,122857
05056,145,53393
05058,72,-
05059,278,-
05060,2035,66509
05061,580,77969
05062,190,54500
05065,441,67232
05067,71,87188
05068,1309,66450
05069,271,87813
05070,181,111250
05071,71,75625
05072,260,98333
05073,0,-
05075,480,89773
05076,200,58000
05077,486,69750
05079,384,62625
05081,254,48750
05083,83,51250
05084,28,101591
05086,223,71250
05088,465,65774
05089,2014,45349
05091,1594,88750
05101,1799,61191
05141,80,-
05142,260,61765
05143,1891,65129
05146,224,75278
05148,577,65625
05149,964,47857
05150,257,58630
05151,609,75110
05152,172,108182
05153,271,56750
05154,243,-
05155,330,54891
05156,3924,57147
05158,429,80250
05161,288,110833
05201,5984,53544
05250,1327,64601
05251,626,86000
05252,171,80694
05253,257,40625
05254,149,81339
05255,1815,81835
05257,946,65500
05260,167,54816
05261,820,65595
05262,755,97614
05301,7388,49565
05340,272,69375
05341,247,-
05342,232,44688
05343,430,58400
05344,0,-
05345,790,63938
05346,1998,64745
05350,314,65313
05351,149,-
05352,351,71563
05353,569,80677
05354,876,78393
05355,307,85804
05356,323,51307
05358,141,34896
05359,232,65000
05360,119,69837
05361,371,72417
05362,130,53587
05363,930,62692
05401,13031,54088
05403,8651,83943
05404,3628,62098
05405,0,-
05408,4219,80242
05439,0,-
05440,764,63462
05441,238,78333
05442,179,80547
05443,2691,79005
05444,590,67292
05445,1717,111535
05446,6733,84111
05447,39,45865
05448,344,72917
05450,1864,70787
05452,9365,88350
05454,2100,91583
05455,458,101250
05456,402,116250
05457,567,90750
05458,873,98194
05459,609,70308
05461,2079,104631
05462,718,81771
05463,213,60417
05464,1131,83342
05465,2236,101300
05468,4814,98306
05471,407,27107
05472,811,91597
05473,580,99000
05474,528,84375
05476,1219,53393
05477,1943,105428
05478,6395,63525
05481,0,-
05482,3180,104796
05483,545,61250
05485,0,-
05486,581,107396
05487,596,69583
05488,2960,65923
05489,1408,85769
05491,2456,79153
05492,384,75417
05494,568,100769
05495,4368,97417
05602,5734,72040
05640,75,115685
05641,7371,63516
05647,462,63525
05648,211,87813
05649,192,71484
05650,421,71563
05651,551,76680
05652,326,55648
05653,245,52917
05654,607,43375
05655,1241,69323
05656,1284,47717
05658,609,59375
05660,733,86174
05661,2699,59079
05663,2211,67755
05664,0,-
05666,18,36944
05667,962,51176
05669,319,63661
05670,39,-
05672,2497,74659
05673,1129,84432
05674,702,66136
05675,418,61583
05676,2026,83158
05677,865,117891
05678,34,66875
05679,1195,75694
05680,888,65481
05681,59,80375
05682,517,69063
05701,9378,55511
05730,153,82813
05731,0,-
05732,496,39792
05733,2505,63050
05734,526,61250
05735,1349,49141
05736,239,60703
05737,242,78846
05738,468,84000
